family,name,n_splits,full_auc,private_median,private_p10,private_p05,private_mean,private_std,public_median,gap_median,delta_ref_median,delta_ref_p10,private_win_rate,beats_ref_rate
stratified,best_meta_bag_c008_s6,300,0.9538763057816942,0.9538761895710518,0.9536886956108183,0.9536426413854318,0.9538753863206254,0.00014331316807563265,0.9538772626273828,8.690328604510356e-07,0.0,0.0,0.0,0.0
stratified,v15_realmlp_avg4,300,0.9499692032432487,0.9499756108076052,0.9497681304214873,0.9496859813102193,0.9499683826056973,0.0001611272655617847,0.9499442724804096,-3.1338327195540305e-05,-0.003907971418048772,-0.003979776811321478,0.0,0.0
year,rstack_realmlp4_c008_s42_j5,100,0.9539075183053676,0.9592937125087109,0.9303251692346735,0.9303251692346735,0.9523108425509331,0.015133622844207023,0.9341091385989734,-0.025407390439910527,3.2069942947132724e-05,2.1783499846161902e-05,0.63,1.0
year,rstack_realmlp4_c006_s42_j5,100,0.9539063854056131,0.9592918121197723,0.9303236358369573,0.9303236358369573,0.952309296896366,0.015133694053018464,0.9341237283785896,-0.025408061842283947,3.0351333459910368e-05,2.4541583986348314e-05,0.37,1.0
year,rstack_realmlp4_c004_s42_j5,100,0.953902303085188,0.9592879100605949,0.9303169410535931,0.9303169410535931,0.9523052587641887,0.0151354732760496,0.9341159308646876,-0.025407779807383457,2.6667858748552487e-05,2.1671713741122645e-05,0.0,1.0
year,rstack_realmlp4_c012_s42_j5,100,0.9539013208342277,0.9592867779874616,0.9303155365726882,0.9303155365726882,0.9523036698755729,0.0151352585540902,0.9341192559163858,-0.025409060855212107,2.6822964567907448e-05,1.8886629551628786e-05,0.0,1.0
year,best_rust_csweep_stack,100,0.9538841133453734,0.959273791727715,0.9302892334191648,0.9302892334191648,0.9522872567969014,0.015142435257760972,0.934082567926458,-0.025423680828784434,1.0101784097993338e-05,6.170921573733779e-06,0.0,1.0
year,best_blend_meta_rust_w65,100,0.9538827699342219,0.9592719871358795,0.9302881996209561,0.9302881996209561,0.9522857250848715,0.015141994311937221,0.9340822669468231,-0.02542236895013117,8.27436912020918e-06,5.137123365028806e-06,0.0,1.0
year,best_blend_meta_rust_multi_w100_620_280,100,0.9538830195677815,0.9592723291677094,0.930287725676269,0.930287725676269,0.9522860621286418,0.015142530760166827,0.9340815308553246,-0.025422197845252792,8.856072421792316e-06,4.6631786779771645e-06,0.0,1.0
year,best_meta_bag_c008_s6,100,0.9538763057816942,0.9592634730952876,0.9302830624975911,0.9302830624975911,0.9522783016949777,0.015140198901461023,0.9340777763425663,-0.025417147096286896,0.0,0.0,0.0,0.0
year,v15_realmlp_avg4,100,0.9499692032432487,0.9554243252497006,0.9253550612672565,0.9253550612672565,0.9480920564299916,0.015628191848117607,0.9281129688415113,-0.02636167457643257,-0.00403776885420748,-0.004928001230334544,0.0,0.0
